"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Parsing mixed real and complex expressions -- @1.6 ","","Fri May 16 14:33:46 GMT 2025","passed","Fri May 16 14:33:46 GMT 2025","","","",""
"","1","Getting the modulus of a complex number","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
"","2","Testing the output notation of composite expressions with a hierarchy depth higher than one -- @1.1 ","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
"","1","Parsing a simple arithmetic integer expression -- @1.18 ","","Fri May 16 14:33:46 GMT 2025","passed","Fri May 16 14:33:46 GMT 2025","","","",""
"","1","Parsing simple real number expressions -- @1.9 ","","Fri May 16 14:33:46 GMT 2025","passed","Fri May 16 14:33:46 GMT 2025","","","",""
"","1","Dividing two rational numbers","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
"","2","Evaluating composite expressions with a hierarchy depth higher than one -- @1.3 ","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
"","1","Inverse of 0 as a real","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
"","1","Parsing a simple arithmetic integer expression -- @1.20 ","","Fri May 16 14:33:46 GMT 2025","passed","Fri May 16 14:33:46 GMT 2025","","","",""
"","1","Parsing a simple arithmetic integer expression -- @1.3 ","","Fri May 16 14:33:46 GMT 2025","passed","Fri May 16 14:33:46 GMT 2025","","","",""
"","1","Parsing mixed real and complex expressions -- @1.1 ","","Fri May 16 14:33:46 GMT 2025","passed","Fri May 16 14:33:46 GMT 2025","","","",""
"","1","Scientific notation","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
"","1","Parsing complex number expressions -- @1.8 ","","Fri May 16 14:33:46 GMT 2025","passed","Fri May 16 14:33:46 GMT 2025","","","",""
"","3","Parsing a complex arithmetic integer expression -- @1.6 ","","Fri May 16 14:33:46 GMT 2025","passed","Fri May 16 14:33:46 GMT 2025","","","",""
"","2","Evaluating composite expressions with a hierarchy depth higher than one -- @1.4 ","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
"","2","Square root of a complex number","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
"","1","Parsing mixed real and complex expressions -- @1.7 ","","Fri May 16 14:33:46 GMT 2025","passed","Fri May 16 14:33:46 GMT 2025","","","",""
"","1","Adding two integer numbers -- @1.1 ","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
"","1","Evaluation arithmetic operations over a list of integer numbers","","Fri May 16 14:33:40 GMT 2025","passed","Fri May 16 14:33:40 GMT 2025","","","",""
