"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Multiplying a list of rational numbers","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Parsing complex number expressions -- @1.9 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Adding rational and integer","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Parsing simple real number expressions -- @1.5 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","2","Parsing a simple arithmetic integer expression -- @1.11 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","2","Scientific notation","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Parsing a complex arithmetic integer expression -- @1.1 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","2","Parsing a simple arithmetic integer expression -- @1.6 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Parsing a complex arithmetic integer expression -- @1.5 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Parsing a simple arithmetic integer expression -- @1.19 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Trying to invert a non-invertible matrix","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Inverse of zero","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Parsing a complex arithmetic integer expression -- @1.2 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","2","Evaluating composite expressions with a hierarchy depth higher than one -- @1.5 ","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Parsing a negative arithmetic integer expression -- @1.5 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Parsing complex number expressions -- @1.3 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Inverse the rational number 0/0","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Dividing two integer numbers -- @1.3 ","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Parsing a simple arithmetic integer expression -- @1.25 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Parsing a simple arithmetic integer expression -- @1.23 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","2","Dividing by zero","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Adding two rational numbers","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Parsing a simple arithmetic integer expression -- @1.24 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Parsing a negative arithmetic integer expression -- @1.6 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Logarithm of zero","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Parsing a negative arithmetic integer expression -- @1.7 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","1","Parsing complex number expressions -- @1.8 ","","Tue May 13 17:54:23 GMT 2025","passed","Tue May 13 17:54:23 GMT 2025","","","",""
"","2","Dividing two rational numbers","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1","Multiplying two real numbers","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
"","1546","Solving system with unique solution -- @1.2 ","","Tue May 13 17:54:19 GMT 2025","passed","Tue May 13 17:54:21 GMT 2025","","","",""
"","1","Logarithm of positive real number","","Tue May 13 17:54:17 GMT 2025","passed","Tue May 13 17:54:17 GMT 2025","","","",""
